customer_id,gender,age_group,tenure,contract_type,payment_method,monthly_charges,total_charges,internet_service,support_tickets,churn_status,churn_reason,tenure_group,monthly_revenue_loss,annual_revenue_loss,customer_lifetime_value
CUST-00050,Female,45-54,16,Month-to-month,Electronic check,40.69,726.63,,1,Stayed,Not churned,13-24 months,0.0,0.0,726.63
CUST-00728,Male,45-54,2,Month-to-month,Electronic check,83.98,172.2,Fiber optic,3,Churned,Temporary need ended,0-6 months,83.98,1007.76,172.2
CUST-01461,Female,25-34,8,Month-to-month,Bank transfer,65.68,552.35,Fiber optic,2,Churned,Competitor offer,7-12 months,65.68,788.16,552.35
CUST-01186,Male,18-24,28,One year,Electronic check,21.38,577.28,,2,Stayed,Not churned,25-48 months,0.0,0.0,577.28
CUST-01038,Male,25-34,18,Two year,Electronic check,47.74,823.5,Fiber optic,1,Churned,Moved location,13-24 months,47.74,572.88,823.5
CUST-00708,Male,55-64,12,Month-to-month,Bank transfer,69.46,899.35,DSL,3,Stayed,Not churned,7-12 months,0.0,0.0,899.35
CUST-01085,Male,35-44,25,Month-to-month,Bank transfer,36.64,908.26,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,908.26
CUST-00124,Female,65+,6,Month-to-month,Electronic check,50.58,312.48,,1,Stayed,Not churned,0-6 months,0.0,0.0,312.48
CUST-00909,Female,65+,18,One year,Credit card,66.42,1184.44,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,1184.44
CUST-00352,Male,55-64,55,Month-to-month,Bank transfer,63.73,3497.46,DSL,0,Stayed,Not churned,49+ months,0.0,0.0,3497.46
CUST-01345,Male,35-44,37,One year,Electronic check,36.45,1345.89,DSL,2,Stayed,Not churned,25-48 months,0.0,0.0,1345.89
CUST-01416,Male,45-54,23,Month-to-month,Credit card,43.08,1008.88,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,1008.88
CUST-01114,Male,45-54,13,Month-to-month,Credit card,71.82,878.18,Fiber optic,3,Churned,Price too high,13-24 months,71.82,861.84,878.18
CUST-00620,Male,55-64,21,Month-to-month,Credit card,51.65,1123.97,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,1123.97
CUST-01487,Female,18-24,35,Month-to-month,Bank transfer,70.51,2455.06,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,2455.06
CUST-00523,Male,55-64,9,Month-to-month,Mailed check,69.9,654.47,DSL,0,Stayed,Not churned,7-12 months,0.0,0.0,654.47
CUST-00310,Female,25-34,12,Month-to-month,Electronic check,40.72,566.28,DSL,0,Stayed,Not churned,7-12 months,0.0,0.0,566.28
CUST-01339,Female,45-54,6,Month-to-month,Bank transfer,34.72,201.17,DSL,1,Churned,Temporary need ended,0-6 months,34.72,416.64,201.17
CUST-01076,Female,45-54,10,One year,Credit card,53.69,522.04,Fiber optic,3,Stayed,Not churned,7-12 months,0.0,0.0,522.04
CUST-00944,Male,55-64,29,Month-to-month,Mailed check,76.16,2205.73,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,2205.73
CUST-00590,Female,35-44,13,Month-to-month,Credit card,55.11,766.61,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,766.61
CUST-01042,Male,45-54,17,Month-to-month,Electronic check,96.07,1649.04,Fiber optic,0,Stayed,Not churned,13-24 months,0.0,0.0,1649.04
CUST-01025,Male,55-64,47,One year,Bank transfer,59.0,2825.56,DSL,0,Stayed,Not churned,25-48 months,0.0,0.0,2825.56
CUST-01234,Female,65+,72,Two year,Bank transfer,48.51,3517.79,DSL,1,Stayed,Not churned,49+ months,0.0,0.0,3517.79
CUST-01327,Female,45-54,5,Month-to-month,Electronic check,84.0,427.93,Fiber optic,1,Stayed,Not churned,0-6 months,0.0,0.0,427.93
CUST-01101,Female,45-54,24,One year,Credit card,76.33,1844.11,Fiber optic,0,Stayed,Not churned,13-24 months,0.0,0.0,1844.11
CUST-01303,Female,65+,32,One year,Credit card,42.16,1348.09,Fiber optic,3,Stayed,Not churned,25-48 months,0.0,0.0,1348.09
CUST-00917,Female,35-44,37,One year,Bank transfer,68.52,2444.44,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,2444.44
CUST-00245,Female,35-44,55,One year,Credit card,52.57,2912.67,DSL,0,Stayed,Not churned,49+ months,0.0,0.0,2912.67
CUST-00584,Female,55-64,30,Two year,Credit card,57.65,1720.12,Fiber optic,1,Stayed,Not churned,25-48 months,0.0,0.0,1720.12
CUST-00487,Female,45-54,7,Month-to-month,Electronic check,23.95,113.04,,1,Churned,Price too high,7-12 months,23.95,287.4,113.04
CUST-00797,Male,25-34,5,Month-to-month,Bank transfer,37.74,171.98,,2,Churned,Competitor offer,0-6 months,37.74,452.88,171.98
CUST-00100,Female,55-64,34,Month-to-month,Credit card,18.99,601.26,,2,Stayed,Not churned,25-48 months,0.0,0.0,601.26
CUST-00683,Female,18-24,13,One year,Credit card,48.65,623.38,DSL,0,Churned,Competitor offer,13-24 months,48.65,583.8,623.38
CUST-00024,Female,25-34,30,Month-to-month,Bank transfer,88.21,2622.08,Fiber optic,3,Stayed,Not churned,25-48 months,0.0,0.0,2622.08
CUST-00980,Male,45-54,34,Month-to-month,Credit card,79.25,2742.02,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,2742.02
CUST-01066,Male,25-34,1,Month-to-month,Credit card,32.9,79.64,DSL,1,Churned,Temporary need ended,0-6 months,32.9,394.8,79.64
CUST-01489,Female,45-54,14,One year,Electronic check,63.46,895.87,DSL,2,Churned,Moved location,13-24 months,63.46,761.52,895.87
CUST-01059,Female,18-24,24,Two year,Credit card,18.99,444.21,,1,Stayed,Not churned,13-24 months,0.0,0.0,444.21
CUST-00060,Female,55-64,48,Two year,Mailed check,35.32,1766.59,DSL,0,Stayed,Not churned,25-48 months,0.0,0.0,1766.59
CUST-00125,Female,25-34,23,One year,Mailed check,38.01,886.05,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,886.05
CUST-00071,Male,35-44,23,One year,Bank transfer,22.63,523.43,,0,Stayed,Not churned,13-24 months,0.0,0.0,523.43
CUST-00629,Female,55-64,58,Two year,Bank transfer,60.84,3492.08,DSL,1,Stayed,Not churned,49+ months,0.0,0.0,3492.08
CUST-01165,Female,45-54,17,One year,Electronic check,32.58,537.67,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,537.67
CUST-00501,Male,25-34,14,Month-to-month,Bank transfer,79.93,1166.37,Fiber optic,1,Stayed,Not churned,13-24 months,0.0,0.0,1166.37
CUST-00845,Female,65+,11,Month-to-month,Mailed check,30.97,314.68,,0,Churned,Temporary need ended,7-12 months,30.97,371.64,314.68
CUST-01456,Male,45-54,9,Month-to-month,Electronic check,44.52,395.23,,3,Stayed,Not churned,7-12 months,0.0,0.0,395.23
CUST-01256,Female,25-34,3,One year,Bank transfer,38.56,79.97,DSL,3,Stayed,Not churned,0-6 months,0.0,0.0,79.97
CUST-01223,Female,45-54,36,Two year,Electronic check,53.33,1936.19,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,1936.19
CUST-00991,Male,25-34,29,Month-to-month,Credit card,30.61,866.28,,1,Stayed,Not churned,25-48 months,0.0,0.0,866.28
CUST-00820,Female,35-44,10,Month-to-month,Bank transfer,54.91,565.95,DSL,1,Churned,Competitor offer,7-12 months,54.91,658.92,565.95
CUST-01450,Male,55-64,1,One year,Electronic check,70.33,70.33,Fiber optic,4,Stayed,Not churned,0-6 months,0.0,0.0,70.33
CUST-00651,Female,35-44,11,One year,Credit card,81.16,877.68,Fiber optic,2,Churned,Product dissatisfaction,7-12 months,81.16,973.92,877.68
CUST-00925,Female,25-34,23,Two year,Bank transfer,42.52,1031.62,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,1031.62
CUST-00817,Male,25-34,39,Month-to-month,Credit card,91.49,3586.33,Fiber optic,0,Stayed,Not churned,25-48 months,0.0,0.0,3586.33
CUST-00068,Male,25-34,72,Two year,Credit card,55.56,3995.0,Fiber optic,0,Stayed,Not churned,49+ months,0.0,0.0,3995.0
CUST-00695,Female,25-34,3,Month-to-month,Credit card,60.66,186.35,DSL,0,Churned,Price too high,0-6 months,60.66,727.92,186.35
CUST-00317,Female,25-34,21,Month-to-month,Mailed check,51.29,1069.36,DSL,0,Stayed,Not churned,13-24 months,0.0,0.0,1069.36
CUST-00353,Male,55-64,29,Two year,Electronic check,64.69,1800.35,Fiber optic,1,Churned,Product dissatisfaction,25-48 months,64.69,776.28,1800.35
CUST-01098,Female,35-44,25,Month-to-month,Electronic check,60.65,1528.43,Fiber optic,2,Churned,Price too high,25-48 months,60.65,727.8,1528.43
CUST-00426,Male,25-34,6,One year,Credit card,68.09,413.88,Fiber optic,0,Churned,Competitor offer,0-6 months,68.09,817.08,413.88
CUST-00830,Female,18-24,24,Month-to-month,Bank transfer,69.83,1727.84,Fiber optic,2,Stayed,Not churned,13-24 months,0.0,0.0,1727.84
CUST-00549,Male,35-44,9,Month-to-month,Bank transfer,85.27,713.89,Fiber optic,1,Churned,Price too high,7-12 months,85.27,1023.24,713.89
CUST-01422,Female,45-54,27,Two year,Mailed check,37.14,1009.17,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,1009.17
CUST-00870,Male,45-54,11,Month-to-month,Credit card,38.19,446.63,,0,Churned,Price too high,7-12 months,38.19,458.28,446.63
CUST-00381,Female,45-54,28,Month-to-month,Credit card,48.24,1341.63,DSL,4,Stayed,Not churned,25-48 months,0.0,0.0,1341.63
CUST-00669,Female,45-54,21,Month-to-month,Credit card,70.94,1537.93,Fiber optic,0,Churned,Price too high,13-24 months,70.94,851.28,1537.93
CUST-00340,Female,25-34,15,One year,Credit card,61.16,964.72,Fiber optic,1,Stayed,Not churned,13-24 months,0.0,0.0,964.72
CUST-00814,Male,45-54,44,One year,Mailed check,57.82,2515.6,DSL,0,Churned,Moved location,25-48 months,57.82,693.84,2515.6
CUST-00169,Female,25-34,28,One year,Electronic check,74.07,2057.64,Fiber optic,1,Stayed,Not churned,25-48 months,0.0,0.0,2057.64
CUST-00240,Female,35-44,17,One year,Electronic check,30.17,559.25,,0,Stayed,Not churned,13-24 months,0.0,0.0,559.25
CUST-01079,Female,35-44,33,One year,Mailed check,65.31,2182.09,DSL,0,Stayed,Not churned,25-48 months,0.0,0.0,2182.09
CUST-01007,Male,55-64,8,Month-to-month,Bank transfer,52.23,399.6,DSL,0,Stayed,Not churned,7-12 months,0.0,0.0,399.6
CUST-00260,Female,35-44,40,Two year,Mailed check,60.59,2436.49,Fiber optic,1,Stayed,Not churned,25-48 months,0.0,0.0,2436.49
CUST-00298,Female,18-24,5,Month-to-month,Electronic check,84.65,396.59,Fiber optic,2,Stayed,Not churned,0-6 months,0.0,0.0,396.59
CUST-01088,Female,45-54,1,One year,Bank transfer,70.36,70.36,DSL,1,Churned,Moved location,0-6 months,70.36,844.32,70.36
CUST-00204,Male,35-44,63,Two year,Bank transfer,18.99,1130.92,DSL,0,Stayed,Not churned,49+ months,0.0,0.0,1130.92
CUST-00362,Male,45-54,38,Month-to-month,Electronic check,72.51,2767.74,Fiber optic,1,Stayed,Not churned,25-48 months,0.0,0.0,2767.74
CUST-00975,Female,35-44,2,Month-to-month,Credit card,42.18,88.67,DSL,0,Churned,Price too high,0-6 months,42.18,506.16,88.67
CUST-01062,Male,45-54,12,Month-to-month,Mailed check,59.0,733.91,DSL,0,Churned,Temporary need ended,7-12 months,59.0,708.0,733.91
CUST-00030,Female,35-44,27,One year,Credit card,77.94,2107.65,Fiber optic,0,Stayed,Not churned,25-48 months,0.0,0.0,2107.65
CUST-00507,Male,35-44,69,Two year,Electronic check,38.31,2695.17,DSL,1,Stayed,Not churned,49+ months,0.0,0.0,2695.17
CUST-01220,Female,18-24,12,Month-to-month,Credit card,29.13,334.81,,2,Churned,Temporary need ended,7-12 months,29.13,349.56,334.81
CUST-00412,Male,55-64,26,Month-to-month,Bank transfer,55.9,1510.45,Fiber optic,3,Churned,Competitor offer,25-48 months,55.9,670.8,1510.45
CUST-00066,Male,35-44,8,Month-to-month,Electronic check,47.81,393.21,DSL,0,Churned,Temporary need ended,7-12 months,47.81,573.72,393.21
CUST-01106,Female,35-44,28,One year,Bank transfer,60.39,1698.61,Fiber optic,1,Stayed,Not churned,25-48 months,0.0,0.0,1698.61
CUST-00238,Female,25-34,55,Two year,Bank transfer,44.08,2466.77,DSL,4,Stayed,Not churned,49+ months,0.0,0.0,2466.77
CUST-01032,Male,55-64,9,Month-to-month,Credit card,52.08,419.64,Fiber optic,1,Stayed,Not churned,7-12 months,0.0,0.0,419.64
CUST-00621,Female,55-64,37,One year,Credit card,71.31,2691.61,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,2691.61
CUST-00572,Male,35-44,19,Month-to-month,Electronic check,79.76,1556.63,Fiber optic,0,Stayed,Not churned,13-24 months,0.0,0.0,1556.63
CUST-01081,Male,25-34,47,One year,Credit card,66.35,3104.26,Fiber optic,0,Stayed,Not churned,25-48 months,0.0,0.0,3104.26
CUST-00427,Female,35-44,6,One year,Bank transfer,50.57,256.25,,2,Churned,Product dissatisfaction,0-6 months,50.57,606.84,256.25
CUST-00889,Female,45-54,13,One year,Bank transfer,70.03,928.08,Fiber optic,2,Stayed,Not churned,13-24 months,0.0,0.0,928.08
CUST-00271,Male,35-44,23,Month-to-month,Credit card,59.0,1370.01,Fiber optic,1,Stayed,Not churned,13-24 months,0.0,0.0,1370.01
CUST-01474,Female,45-54,2,Month-to-month,Electronic check,44.21,92.51,DSL,0,Stayed,Not churned,0-6 months,0.0,0.0,92.51
CUST-00533,Male,35-44,5,Month-to-month,Bank transfer,37.18,186.39,,2,Stayed,Not churned,0-6 months,0.0,0.0,186.39
CUST-00599,Female,45-54,10,Month-to-month,Bank transfer,52.97,570.97,,1,Churned,Price too high,7-12 months,52.97,635.64,570.97
CUST-00894,Female,25-34,26,Month-to-month,Bank transfer,74.53,1879.35,Fiber optic,2,Churned,Temporary need ended,25-48 months,74.53,894.36,1879.35
CUST-00810,Female,35-44,10,Month-to-month,Electronic check,89.97,949.95,Fiber optic,1,Churned,Price too high,7-12 months,89.97,1079.64,949.95
CUST-01274,Female,35-44,21,Month-to-month,Electronic check,67.81,1472.37,Fiber optic,0,Stayed,Not churned,13-24 months,0.0,0.0,1472.37
CUST-00414,Male,35-44,7,Month-to-month,Credit card,84.75,608.77,Fiber optic,3,Churned,Temporary need ended,7-12 months,84.75,1017.0,608.77
CUST-00927,Female,25-34,36,One year,Mailed check,79.18,2906.62,Fiber optic,0,Stayed,Not churned,25-48 months,0.0,0.0,2906.62
CUST-00731,Female,45-54,13,Month-to-month,Electronic check,69.13,924.61,Fiber optic,0,Churned,Price too high,13-24 months,69.13,829.56,924.61
CUST-01378,Male,25-34,46,Two year,Electronic check,50.13,2293.01,Fiber optic,0,Churned,Product dissatisfaction,25-48 months,50.13,601.56,2293.01
CUST-00719,Female,55-64,24,Month-to-month,Credit card,70.85,1672.3,Fiber optic,0,Stayed,Not churned,13-24 months,0.0,0.0,1672.3
CUST-01221,Male,55-64,24,Month-to-month,Credit card,18.99,430.39,,2,Churned,Temporary need ended,13-24 months,18.99,227.88,430.39
CUST-00045,Female,65+,24,One year,Bank transfer,45.12,1040.52,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,1040.52
CUST-00860,Female,25-34,29,Two year,Bank transfer,29.97,894.47,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,894.47
CUST-01194,Male,35-44,18,One year,Bank transfer,75.1,1331.37,Fiber optic,2,Stayed,Not churned,13-24 months,0.0,0.0,1331.37
CUST-00366,Female,55-64,44,One year,Electronic check,61.69,2657.8,DSL,2,Stayed,Not churned,25-48 months,0.0,0.0,2657.8
CUST-01049,Male,35-44,36,Two year,Credit card,59.46,2094.92,Fiber optic,0,Churned,Competitor offer,25-48 months,59.46,713.52,2094.92
CUST-00116,Male,45-54,17,Two year,Credit card,63.89,1070.46,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,1070.46
CUST-00304,Male,25-34,10,Month-to-month,Credit card,52.02,546.58,DSL,1,Churned,Competitor offer,7-12 months,52.02,624.24,546.58
CUST-00486,Male,18-24,47,One year,Credit card,54.11,2558.4,DSL,3,Churned,Product dissatisfaction,25-48 months,54.11,649.32,2558.4
CUST-01183,Male,18-24,13,One year,Mailed check,40.64,572.8,DSL,0,Churned,Competitor offer,13-24 months,40.64,487.68,572.8
CUST-00232,Female,45-54,1,One year,Credit card,18.99,18.99,,0,Churned,Moved location,0-6 months,18.99,227.88,18.99
CUST-00423,Female,45-54,26,One year,Bank transfer,78.34,1997.56,Fiber optic,0,Stayed,Not churned,25-48 months,0.0,0.0,1997.56
CUST-01362,Female,25-34,24,One year,Bank transfer,53.42,1302.81,Fiber optic,2,Stayed,Not churned,13-24 months,0.0,0.0,1302.81
CUST-00947,Female,25-34,18,One year,Bank transfer,86.59,1596.86,Fiber optic,1,Stayed,Not churned,13-24 months,0.0,0.0,1596.86
CUST-00079,Female,45-54,31,Month-to-month,Mailed check,52.35,1637.95,DSL,1,Churned,Competitor offer,25-48 months,52.35,628.2,1637.95
CUST-00278,Male,35-44,3,Month-to-month,Credit card,66.23,240.31,Fiber optic,1,Churned,Price too high,0-6 months,66.23,794.76,240.31
CUST-01402,Female,45-54,14,Month-to-month,Bank transfer,41.53,575.54,DSL,1,Stayed,Not churned,13-24 months,0.0,0.0,575.54
CUST-00782,Male,35-44,39,Month-to-month,Bank transfer,49.08,1887.35,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,1887.35
CUST-00989,Female,35-44,10,Month-to-month,Bank transfer,77.04,724.38,Fiber optic,2,Churned,Competitor offer,7-12 months,77.04,924.48,724.38
CUST-00272,Male,45-54,7,Month-to-month,Bank transfer,25.27,225.55,,0,Stayed,Not churned,7-12 months,0.0,0.0,225.55
CUST-00016,Female,18-24,9,Month-to-month,Bank transfer,65.68,561.82,DSL,1,Stayed,Not churned,7-12 months,0.0,0.0,561.82
CUST-01158,Male,55-64,49,Two year,Electronic check,72.85,3516.2,Fiber optic,1,Stayed,Not churned,49+ months,0.0,0.0,3516.2
CUST-01349,Male,35-44,35,Two year,Credit card,42.0,1518.62,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,1518.62
CUST-00941,Female,35-44,40,One year,Bank transfer,49.61,2016.17,DSL,1,Churned,Product dissatisfaction,25-48 months,49.61,595.32,2016.17
CUST-00416,Female,45-54,46,One year,Mailed check,40.62,1942.69,Fiber optic,1,Stayed,Not churned,25-48 months,0.0,0.0,1942.69
CUST-00514,Male,25-34,42,Two year,Electronic check,31.28,1330.15,DSL,0,Churned,Product dissatisfaction,25-48 months,31.28,375.36,1330.15
CUST-00757,Male,35-44,25,Month-to-month,Credit card,52.9,1339.72,DSL,1,Stayed,Not churned,25-48 months,0.0,0.0,1339.72
CUST-00536,Male,35-44,18,Month-to-month,Bank transfer,69.31,1261.97,Fiber optic,1,Churned,Temporary need ended,13-24 months,69.31,831.72,1261.97
CUST-00354,Female,55-64,8,Month-to-month,Bank transfer,45.13,393.04,DSL,1,Stayed,Not churned,7-12 months,0.0,0.0,393.04
CUST-00818,Female,35-44,55,Two year,Mailed check,27.97,1561.7,,3,Stayed,Not churned,49+ months,0.0,0.0,1561.7
CUST-00185,Female,25-34,29,Month-to-month,Electronic check,61.14,1812.36,Fiber optic,0,Churned,Temporary need ended,25-48 months,61.14,733.68,1812.36
CUST-00382,Male,55-64,8,Month-to-month,Bank transfer,52.77,376.77,DSL,1,Stayed,Not churned,7-12 months,0.0,0.0,376.77
CUST-00995,Female,35-44,26,Month-to-month,Bank transfer,19.1,454.57,,0,Stayed,Not churned,25-48 months,0.0,0.0,454.57
CUST-01250,Male,45-54,72,Two year,Electronic check,36.17,2648.97,DSL,0,Stayed,Not churned,49+ months,0.0,0.0,2648.97
CUST-01104,Male,25-34,15,Month-to-month,Electronic check,57.87,902.13,DSL,0,Stayed,Not churned,13-24 months,0.0,0.0,902.13
CUST-01476,Male,18-24,18,Month-to-month,Mailed check,73.01,1271.0,DSL,0,Stayed,Not churned,13-24 months,0.0,0.0,1271.0
CUST-00901,Female,35-44,29,Month-to-month,Credit card,63.66,1849.55,Fiber optic,2,Stayed,Not churned,25-48 months,0.0,0.0,1849.55
CUST-01034,Female,18-24,23,Two year,Electronic check,32.1,757.44,DSL,3,Stayed,Not churned,13-24 months,0.0,0.0,757.44
CUST-00176,Female,25-34,8,Month-to-month,Electronic check,49.1,428.15,DSL,0,Churned,Temporary need ended,7-12 months,49.1,589.2,428.15
CUST-00498,Female,18-24,45,Two year,Credit card,61.71,2765.28,Fiber optic,0,Stayed,Not churned,25-48 months,0.0,0.0,2765.28
CUST-00766,Male,45-54,58,Month-to-month,Bank transfer,44.47,2602.23,,0,Churned,Competitor offer,49+ months,44.47,533.64,2602.23
CUST-01341,Female,35-44,9,Month-to-month,Bank transfer,20.38,247.54,,0,Stayed,Not churned,7-12 months,0.0,0.0,247.54
CUST-01308,Male,25-34,52,One year,Mailed check,59.21,3069.43,Fiber optic,1,Stayed,Not churned,49+ months,0.0,0.0,3069.43
CUST-00916,Female,65+,19,Month-to-month,Bank transfer,47.93,894.8,Fiber optic,2,Churned,Temporary need ended,13-24 months,47.93,575.16,894.8
CUST-00715,Female,45-54,51,Two year,Bank transfer,55.61,2825.5,DSL,0,Stayed,Not churned,49+ months,0.0,0.0,2825.5
CUST-00044,Male,25-34,13,Month-to-month,Credit card,79.26,1042.19,Fiber optic,0,Churned,Competitor offer,13-24 months,79.26,951.12,1042.19
CUST-01400,Male,18-24,6,Month-to-month,Bank transfer,74.37,470.28,Fiber optic,0,Churned,Competitor offer,0-6 months,74.37,892.44,470.28
CUST-01252,Female,45-54,15,Month-to-month,Electronic check,36.17,602.39,,2,Stayed,Not churned,13-24 months,0.0,0.0,602.39
CUST-00241,Male,55-64,6,Month-to-month,Electronic check,18.99,118.37,,1,Stayed,Not churned,0-6 months,0.0,0.0,118.37
CUST-01477,Male,55-64,6,Month-to-month,Credit card,67.8,516.71,DSL,1,Churned,Competitor offer,0-6 months,67.8,813.6,516.71
CUST-00102,Male,25-34,46,One year,Electronic check,28.05,1310.95,DSL,1,Churned,Moved location,25-48 months,28.05,336.6,1310.95
CUST-00713,Female,18-24,41,One year,Credit card,32.63,1306.55,DSL,0,Stayed,Not churned,25-48 months,0.0,0.0,1306.55
CUST-01238,Female,35-44,45,One year,Credit card,46.24,2091.0,DSL,0,Churned,Competitor offer,25-48 months,46.24,554.88,2091.0
CUST-00108,Male,55-64,3,Month-to-month,Credit card,64.19,182.75,Fiber optic,2,Churned,Competitor offer,0-6 months,64.19,770.28,182.75
CUST-00893,Male,35-44,43,One year,Electronic check,27.29,1172.74,,4,Stayed,Not churned,25-48 months,0.0,0.0,1172.74
CUST-01064,Female,18-24,7,Month-to-month,Credit card,52.74,366.48,DSL,1,Stayed,Not churned,7-12 months,0.0,0.0,366.48
CUST-00979,Female,25-34,4,Month-to-month,Electronic check,69.03,230.47,DSL,1,Stayed,Not churned,0-6 months,0.0,0.0,230.47
CUST-01167,Male,25-34,14,Month-to-month,Electronic check,45.67,626.89,DSL,2,Stayed,Not churned,13-24 months,0.0,0.0,626.89
CUST-00262,Male,55-64,12,Month-to-month,Mailed check,55.55,695.54,DSL,3,Churned,Price too high,7-12 months,55.55,666.6,695.54
CUST-00463,Male,55-64,29,One year,Credit card,30.6,874.75,,3,Stayed,Not churned,25-48 months,0.0,0.0,874.75
CUST-00819,Female,35-44,61,Two year,Credit card,26.94,1612.34,DSL,0,Stayed,Not churned,49+ months,0.0,0.0,1612.34
CUST-00716,Male,25-34,25,Month-to-month,Bank transfer,68.26,1724.55,Fiber optic,0,Churned,Competitor offer,25-48 months,68.26,819.12,1724.55
CUST-00129,Female,25-34,44,Two year,Electronic check,59.0,2604.64,Fiber optic,3,Stayed,Not churned,25-48 months,0.0,0.0,2604.64
CUST-00576,Male,55-64,11,Month-to-month,Bank transfer,46.66,439.16,DSL,1,Stayed,Not churned,7-12 months,0.0,0.0,439.16
CUST-01289,Female,65+,17,Month-to-month,Mailed check,23.95,410.3,,0,Stayed,Not churned,13-24 months,0.0,0.0,410.3
CUST-00863,Male,25-34,4,Month-to-month,Bank transfer,43.22,204.32,,1,Stayed,Not churned,0-6 months,0.0,0.0,204.32
CUST-01035,Female,45-54,36,Month-to-month,Credit card,63.82,2298.13,Fiber optic,3,Stayed,Not churned,25-48 months,0.0,0.0,2298.13
