customer_id,gender,age_group,tenure,contract_type,payment_method,monthly_charges,total_charges,streaming_plan,support_tickets,churn_status,churn_reason,tenure_group,monthly_revenue_loss,annual_revenue_loss,customer_lifetime_value
CUST-01085,Male,35-44,10,Month-to-month,Bank transfer,19.54,206.51,Standard,1,Churned,Competitor offer,7-12 months,19.54,234.48,206.51
CUST-00124,Female,65+,47,Month-to-month,Electronic check,17.47,884.45,Mobile,1,Stayed,Not churned,25-48 months,0.0,0.0,884.45
CUST-00909,Female,65+,12,One year,Credit card,29.55,374.59,Premium,0,Churned,Competitor offer,7-12 months,29.55,354.6,374.59
CUST-00352,Male,55-64,13,Month-to-month,Bank transfer,31.57,400.33,Standard,3,Stayed,Not churned,13-24 months,0.0,0.0,400.33
CUST-01345,Male,35-44,26,One year,Electronic check,15.47,438.1,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,438.1
CUST-01416,Male,45-54,6,Month-to-month,Credit card,12.0,72.45,Standard,2,Stayed,Not churned,0-6 months,0.0,0.0,72.45
CUST-01114,Male,45-54,25,Month-to-month,Credit card,24.96,610.0,Basic,2,Stayed,Not churned,25-48 months,0.0,0.0,610.0
CUST-00620,Male,55-64,14,Month-to-month,Credit card,22.66,308.81,Premium,1,Stayed,Not churned,13-24 months,0.0,0.0,308.81
CUST-01487,Female,18-24,4,Month-to-month,Bank transfer,21.96,155.8,Standard,0,Stayed,Not churned,0-6 months,0.0,0.0,155.8
CUST-00523,Male,55-64,14,Month-to-month,Mailed check,27.12,406.77,Premium,3,Stayed,Not churned,13-24 months,0.0,0.0,406.77
CUST-00310,Female,25-34,26,Month-to-month,Electronic check,39.99,1064.02,Premium,2,Stayed,Not churned,25-48 months,0.0,0.0,1064.02
CUST-01339,Female,45-54,6,Month-to-month,Bank transfer,26.26,139.3,Standard,2,Stayed,Not churned,0-6 months,0.0,0.0,139.3
CUST-01076,Female,45-54,36,One year,Credit card,28.63,1025.29,Basic,1,Churned,Moved location,25-48 months,28.63,343.56,1025.29
CUST-00944,Male,55-64,57,Month-to-month,Mailed check,7.99,372.17,Basic,1,Churned,Competitor offer,49+ months,7.99,95.88,372.17
CUST-00590,Female,35-44,15,Month-to-month,Credit card,10.96,186.49,Premium,0,Stayed,Not churned,13-24 months,0.0,0.0,186.49
CUST-01042,Male,45-54,3,Month-to-month,Electronic check,18.54,53.09,Standard,0,Stayed,Not churned,0-6 months,0.0,0.0,53.09
CUST-01025,Male,55-64,34,One year,Bank transfer,27.15,881.27,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,881.27
CUST-01234,Female,65+,44,Two year,Bank transfer,18.29,800.63,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,800.63
CUST-01327,Female,45-54,11,Month-to-month,Electronic check,16.06,240.3,Basic,1,Stayed,Not churned,7-12 months,0.0,0.0,240.3
CUST-01101,Female,45-54,21,One year,Credit card,7.99,177.14,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,177.14
CUST-01303,Female,65+,32,One year,Credit card,18.11,564.57,Basic,0,Stayed,Not churned,25-48 months,0.0,0.0,564.57
CUST-00917,Female,35-44,1,One year,Bank transfer,33.94,103.46,Standard,1,Churned,Competitor offer,0-6 months,33.94,407.28,103.46
CUST-00245,Female,35-44,55,One year,Credit card,19.66,1101.34,Premium,2,Churned,Competitor offer,49+ months,19.66,235.92,1101.34
CUST-00584,Female,55-64,36,Two year,Credit card,7.99,281.54,Basic,1,Stayed,Not churned,25-48 months,0.0,0.0,281.54
CUST-00487,Female,45-54,3,Month-to-month,Electronic check,25.82,95.68,Mobile,1,Stayed,Not churned,0-6 months,0.0,0.0,95.68
CUST-00797,Male,25-34,6,Month-to-month,Bank transfer,28.41,98.34,Mobile,1,Churned,Competitor offer,0-6 months,28.41,340.92,98.34
CUST-00100,Female,55-64,46,Month-to-month,Credit card,39.99,1856.74,Premium,0,Churned,Temporary need ended,25-48 months,39.99,479.88,1856.74
CUST-00683,Female,18-24,13,One year,Credit card,26.64,337.25,Premium,0,Churned,Competitor offer,13-24 months,26.64,319.68,337.25
CUST-00024,Female,25-34,20,Month-to-month,Bank transfer,19.58,444.11,Basic,2,Stayed,Not churned,13-24 months,0.0,0.0,444.11
CUST-00980,Male,45-54,34,Month-to-month,Credit card,20.74,691.44,Basic,1,Stayed,Not churned,25-48 months,0.0,0.0,691.44
CUST-01066,Male,25-34,2,Month-to-month,Credit card,34.64,50.24,Standard,0,Churned,Temporary need ended,0-6 months,34.64,415.68,50.24
CUST-01489,Female,45-54,16,One year,Electronic check,12.16,194.35,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,194.35
CUST-01059,Female,18-24,55,Two year,Credit card,30.87,1691.83,Premium,1,Stayed,Not churned,49+ months,0.0,0.0,1691.83
CUST-00060,Female,55-64,35,Two year,Mailed check,39.99,1412.19,Premium,1,Churned,Competitor offer,25-48 months,39.99,479.88,1412.19
CUST-00125,Female,25-34,17,One year,Mailed check,29.04,510.01,Premium,3,Stayed,Not churned,13-24 months,0.0,0.0,510.01
CUST-00071,Male,35-44,20,One year,Bank transfer,18.47,359.6,Mobile,1,Churned,Competitor offer,13-24 months,18.47,221.64,359.6
CUST-00629,Female,55-64,69,Two year,Bank transfer,7.99,598.39,Standard,0,Stayed,Not churned,49+ months,0.0,0.0,598.39
CUST-01165,Female,45-54,38,One year,Electronic check,35.55,1372.6,Premium,1,Stayed,Not churned,25-48 months,0.0,0.0,1372.6
CUST-00501,Male,25-34,14,Month-to-month,Bank transfer,12.33,133.31,Basic,0,Churned,Price too high,13-24 months,12.33,147.96,133.31
CUST-00845,Female,65+,11,Month-to-month,Mailed check,31.96,325.57,Premium,0,Churned,Temporary need ended,7-12 months,31.96,383.52,325.57
CUST-01456,Male,45-54,38,Month-to-month,Electronic check,18.35,612.64,Mobile,0,Stayed,Not churned,25-48 months,0.0,0.0,612.64
CUST-01256,Female,25-34,17,One year,Bank transfer,7.99,139.54,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,139.54
CUST-01223,Female,45-54,60,Two year,Electronic check,14.24,815.61,Basic,2,Stayed,Not churned,49+ months,0.0,0.0,815.61
CUST-00991,Male,25-34,29,Month-to-month,Credit card,11.6,314.99,Mobile,1,Stayed,Not churned,25-48 months,0.0,0.0,314.99
CUST-00820,Female,35-44,10,Month-to-month,Bank transfer,32.9,345.85,Premium,1,Churned,Competitor offer,7-12 months,32.9,394.8,345.85
CUST-01450,Male,55-64,21,One year,Electronic check,8.94,274.79,Basic,1,Stayed,Not churned,13-24 months,0.0,0.0,274.79
CUST-00651,Female,35-44,46,One year,Credit card,7.99,323.74,Basic,0,Churned,Competitor offer,25-48 months,7.99,95.88,323.74
CUST-00925,Female,25-34,33,Two year,Bank transfer,18.83,639.25,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,639.25
CUST-00817,Male,25-34,39,Month-to-month,Credit card,32.98,1304.44,Basic,0,Stayed,Not churned,25-48 months,0.0,0.0,1304.44
CUST-00068,Male,25-34,28,Two year,Credit card,38.88,1061.12,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,1061.12
CUST-00695,Female,25-34,3,Month-to-month,Credit card,31.65,99.32,Standard,0,Churned,Price too high,0-6 months,31.65,379.8,99.32
CUST-00317,Female,25-34,17,Month-to-month,Mailed check,39.99,651.05,Premium,1,Stayed,Not churned,13-24 months,0.0,0.0,651.05
CUST-00353,Male,55-64,52,Two year,Electronic check,7.99,413.53,Basic,1,Stayed,Not churned,49+ months,0.0,0.0,413.53
CUST-01098,Female,35-44,21,Month-to-month,Electronic check,22.76,478.24,Basic,1,Stayed,Not churned,13-24 months,0.0,0.0,478.24
CUST-00426,Male,25-34,14,One year,Credit card,13.73,187.66,Basic,2,Stayed,Not churned,13-24 months,0.0,0.0,187.66
CUST-00830,Female,18-24,24,Month-to-month,Bank transfer,18.82,503.6,Standard,2,Stayed,Not churned,13-24 months,0.0,0.0,503.6
CUST-00549,Male,35-44,23,Month-to-month,Bank transfer,19.65,439.88,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,439.88
CUST-01422,Female,45-54,50,Two year,Mailed check,21.45,1113.9,Premium,1,Stayed,Not churned,49+ months,0.0,0.0,1113.9
CUST-00870,Male,45-54,11,Month-to-month,Credit card,19.18,237.52,Mobile,0,Churned,Price too high,7-12 months,19.18,230.16,237.52
CUST-00381,Female,45-54,14,Month-to-month,Credit card,24.67,369.26,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,369.26
CUST-00669,Female,45-54,21,Month-to-month,Credit card,12.43,309.22,Basic,0,Churned,Price too high,13-24 months,12.43,149.16,309.22
CUST-00340,Female,25-34,29,One year,Credit card,12.08,396.34,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,396.34
CUST-00814,Male,45-54,15,One year,Mailed check,33.3,471.02,Premium,0,Stayed,Not churned,13-24 months,0.0,0.0,471.02
CUST-00169,Female,25-34,36,One year,Electronic check,9.08,352.55,Basic,0,Stayed,Not churned,25-48 months,0.0,0.0,352.55
CUST-00240,Female,35-44,35,One year,Electronic check,9.46,302.46,Premium,0,Stayed,Not churned,25-48 months,0.0,0.0,302.46
CUST-01079,Female,35-44,46,One year,Mailed check,36.45,1670.4,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,1670.4
CUST-01007,Male,55-64,11,Month-to-month,Bank transfer,18.1,149.77,Standard,0,Stayed,Not churned,7-12 months,0.0,0.0,149.77
CUST-00260,Female,35-44,23,Two year,Mailed check,10.91,280.26,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,280.26
CUST-00298,Female,18-24,9,Month-to-month,Electronic check,22.01,250.35,Basic,0,Churned,Competitor offer,7-12 months,22.01,264.12,250.35
CUST-01088,Female,45-54,46,One year,Bank transfer,17.86,854.33,Standard,4,Stayed,Not churned,25-48 months,0.0,0.0,854.33
CUST-00204,Male,35-44,31,Two year,Bank transfer,7.99,296.55,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,296.55
CUST-00362,Male,45-54,27,Month-to-month,Electronic check,24.79,678.8,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,678.8
CUST-00975,Female,35-44,2,Month-to-month,Credit card,13.17,30.65,Standard,0,Churned,Price too high,0-6 months,13.17,158.04,30.65
CUST-01062,Male,45-54,21,Month-to-month,Mailed check,32.07,648.08,Standard,0,Stayed,Not churned,13-24 months,0.0,0.0,648.08
CUST-00030,Female,35-44,27,One year,Credit card,19.43,527.88,Basic,0,Stayed,Not churned,25-48 months,0.0,0.0,527.88
CUST-00507,Male,35-44,49,Two year,Electronic check,7.99,378.69,Premium,0,Churned,Moved location,49+ months,7.99,95.88,378.69
CUST-01220,Female,18-24,4,Month-to-month,Credit card,39.99,161.0,Premium,1,Stayed,Not churned,0-6 months,0.0,0.0,161.0
CUST-00412,Male,55-64,22,Month-to-month,Bank transfer,39.99,888.04,Standard,0,Stayed,Not churned,13-24 months,0.0,0.0,888.04
CUST-00066,Male,35-44,9,Month-to-month,Electronic check,39.99,356.54,Premium,0,Stayed,Not churned,7-12 months,0.0,0.0,356.54
CUST-01106,Female,35-44,22,One year,Bank transfer,7.99,215.56,Basic,3,Stayed,Not churned,13-24 months,0.0,0.0,215.56
CUST-00238,Female,25-34,72,Two year,Bank transfer,21.42,1545.38,Standard,4,Stayed,Not churned,49+ months,0.0,0.0,1545.38
CUST-01032,Male,55-64,24,Month-to-month,Credit card,32.61,730.31,Standard,3,Churned,Temporary need ended,13-24 months,32.61,391.32,730.31
CUST-00621,Female,55-64,26,One year,Credit card,7.99,247.06,Basic,3,Stayed,Not churned,25-48 months,0.0,0.0,247.06
CUST-00572,Male,35-44,27,Month-to-month,Electronic check,14.8,379.53,Basic,3,Churned,Competitor offer,25-48 months,14.8,177.6,379.53
CUST-01081,Male,25-34,32,One year,Credit card,10.23,297.47,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,297.47
CUST-00427,Female,35-44,38,One year,Bank transfer,7.99,315.44,Mobile,0,Stayed,Not churned,25-48 months,0.0,0.0,315.44
CUST-00889,Female,45-54,21,One year,Bank transfer,13.12,276.76,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,276.76
CUST-00271,Male,35-44,9,Month-to-month,Credit card,10.08,90.72,Standard,1,Churned,Price too high,7-12 months,10.08,120.96,90.72
CUST-01474,Female,45-54,9,Month-to-month,Electronic check,28.34,296.04,Standard,1,Churned,Competitor offer,7-12 months,28.34,340.08,296.04
CUST-00533,Male,35-44,11,Month-to-month,Bank transfer,8.66,45.66,Mobile,1,Stayed,Not churned,7-12 months,0.0,0.0,45.66
CUST-00599,Female,45-54,48,Month-to-month,Bank transfer,21.88,1036.08,Mobile,0,Stayed,Not churned,25-48 months,0.0,0.0,1036.08
CUST-00894,Female,25-34,26,Month-to-month,Bank transfer,23.52,553.09,Standard,2,Churned,Temporary need ended,25-48 months,23.52,282.24,553.09
CUST-00810,Female,35-44,10,Month-to-month,Electronic check,38.96,439.85,Standard,1,Churned,Price too high,7-12 months,38.96,467.52,439.85
CUST-01274,Female,35-44,12,Month-to-month,Electronic check,20.8,186.98,Basic,0,Churned,Competitor offer,7-12 months,20.8,249.6,186.98
CUST-00414,Male,35-44,3,Month-to-month,Credit card,24.21,83.35,Standard,1,Churned,Competitor offer,0-6 months,24.21,290.52,83.35
CUST-00927,Female,25-34,8,One year,Mailed check,17.51,193.74,Standard,1,Stayed,Not churned,7-12 months,0.0,0.0,193.74
CUST-00731,Female,45-54,4,Month-to-month,Electronic check,18.14,67.13,Standard,0,Churned,Temporary need ended,0-6 months,18.14,217.68,67.13
CUST-01378,Male,25-34,57,Two year,Electronic check,17.29,930.08,Standard,4,Stayed,Not churned,49+ months,0.0,0.0,930.08
CUST-00719,Female,55-64,15,Month-to-month,Credit card,26.23,399.03,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,399.03
CUST-01221,Male,55-64,15,Month-to-month,Credit card,7.99,148.75,Mobile,0,Stayed,Not churned,13-24 months,0.0,0.0,148.75
CUST-00045,Female,65+,23,One year,Bank transfer,7.99,252.12,Premium,0,Stayed,Not churned,13-24 months,0.0,0.0,252.12
CUST-00860,Female,25-34,54,Two year,Bank transfer,7.99,388.51,Standard,0,Stayed,Not churned,49+ months,0.0,0.0,388.51
CUST-01194,Male,35-44,14,One year,Bank transfer,7.99,133.21,Basic,2,Churned,Moved location,13-24 months,7.99,95.88,133.21
CUST-00366,Female,55-64,15,One year,Electronic check,25.92,383.64,Standard,0,Stayed,Not churned,13-24 months,0.0,0.0,383.64
CUST-01049,Male,35-44,14,Two year,Credit card,7.99,150.78,Basic,0,Stayed,Not churned,13-24 months,0.0,0.0,150.78
CUST-00116,Male,45-54,30,Two year,Credit card,15.62,491.42,Premium,2,Stayed,Not churned,25-48 months,0.0,0.0,491.42
CUST-00304,Male,25-34,13,Month-to-month,Credit card,39.99,575.02,Premium,2,Stayed,Not churned,13-24 months,0.0,0.0,575.02
CUST-00486,Male,18-24,36,One year,Credit card,13.62,561.2,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,561.2
CUST-01183,Male,18-24,39,One year,Mailed check,36.13,1409.85,Premium,4,Stayed,Not churned,25-48 months,0.0,0.0,1409.85
CUST-00232,Female,45-54,22,One year,Credit card,15.09,294.92,Premium,1,Stayed,Not churned,13-24 months,0.0,0.0,294.92
CUST-00423,Female,45-54,39,One year,Bank transfer,7.99,319.12,Basic,0,Stayed,Not churned,25-48 months,0.0,0.0,319.12
CUST-01362,Female,25-34,36,One year,Bank transfer,39.99,1462.01,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,1462.01
CUST-00947,Female,25-34,43,One year,Bank transfer,25.6,1102.66,Basic,1,Churned,Product dissatisfaction,25-48 months,25.6,307.2,1102.66
CUST-00079,Female,45-54,13,Month-to-month,Mailed check,36.17,514.21,Standard,3,Churned,Competitor offer,13-24 months,36.17,434.04,514.21
CUST-00278,Male,35-44,39,Month-to-month,Credit card,15.31,649.02,Standard,0,Stayed,Not churned,25-48 months,0.0,0.0,649.02
CUST-01402,Female,45-54,12,Month-to-month,Bank transfer,25.85,354.55,Premium,0,Stayed,Not churned,7-12 months,0.0,0.0,354.55
CUST-00782,Male,35-44,17,Month-to-month,Bank transfer,23.18,402.65,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,402.65
CUST-00989,Female,35-44,14,Month-to-month,Bank transfer,28.42,404.11,Basic,1,Stayed,Not churned,13-24 months,0.0,0.0,404.11
CUST-00272,Male,45-54,9,Month-to-month,Bank transfer,19.53,222.99,Mobile,2,Stayed,Not churned,7-12 months,0.0,0.0,222.99
CUST-00016,Female,18-24,8,Month-to-month,Bank transfer,12.77,81.88,Premium,1,Stayed,Not churned,7-12 months,0.0,0.0,81.88
CUST-01158,Male,55-64,72,Two year,Electronic check,39.99,2850.16,Standard,1,Churned,Competitor offer,49+ months,39.99,479.88,2850.16
CUST-01349,Male,35-44,44,Two year,Credit card,13.45,585.12,Premium,3,Stayed,Not churned,25-48 months,0.0,0.0,585.12
CUST-00941,Female,35-44,5,One year,Bank transfer,21.83,83.51,Premium,0,Stayed,Not churned,0-6 months,0.0,0.0,83.51
CUST-00416,Female,45-54,26,One year,Mailed check,36.88,946.77,Standard,1,Stayed,Not churned,25-48 months,0.0,0.0,946.77
CUST-00514,Male,25-34,69,Two year,Electronic check,16.3,1176.48,Premium,1,Stayed,Not churned,49+ months,0.0,0.0,1176.48
CUST-00757,Male,35-44,6,Month-to-month,Credit card,31.01,161.36,Premium,0,Churned,Price too high,0-6 months,31.01,372.12,161.36
CUST-00536,Male,35-44,6,Month-to-month,Bank transfer,15.66,125.84,Basic,1,Stayed,Not churned,0-6 months,0.0,0.0,125.84
CUST-00354,Female,55-64,18,Month-to-month,Bank transfer,20.49,395.25,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,395.25
CUST-00818,Female,35-44,55,Two year,Mailed check,8.96,516.15,Mobile,3,Stayed,Not churned,49+ months,0.0,0.0,516.15
CUST-00185,Female,25-34,14,Month-to-month,Electronic check,20.28,308.94,Basic,0,Churned,Competitor offer,13-24 months,20.28,243.36,308.94
CUST-00382,Male,55-64,28,Month-to-month,Bank transfer,19.23,529.35,Standard,4,Stayed,Not churned,25-48 months,0.0,0.0,529.35
CUST-00995,Female,35-44,3,Month-to-month,Bank transfer,16.92,16.92,Mobile,0,Churned,Competitor offer,0-6 months,16.92,203.04,16.92
CUST-01250,Male,45-54,62,Two year,Electronic check,7.99,509.43,Premium,0,Stayed,Not churned,49+ months,0.0,0.0,509.43
CUST-01104,Male,25-34,19,Month-to-month,Electronic check,39.59,668.91,Standard,1,Stayed,Not churned,13-24 months,0.0,0.0,668.91
CUST-01476,Male,18-24,2,Month-to-month,Mailed check,35.27,124.36,Standard,4,Churned,Poor customer support,0-6 months,35.27,423.24,124.36
CUST-00901,Female,35-44,29,Month-to-month,Credit card,7.99,235.12,Basic,2,Stayed,Not churned,25-48 months,0.0,0.0,235.12
CUST-01034,Female,18-24,16,Two year,Electronic check,25.0,331.58,Standard,0,Stayed,Not churned,13-24 months,0.0,0.0,331.58
CUST-00176,Female,25-34,4,Month-to-month,Unknown,7.99,8.56,Standard,0,Churned,Competitor offer,0-6 months,7.99,95.88,8.56
CUST-00498,Female,18-24,24,Two year,Credit card,19.19,463.42,Basic,1,Stayed,Not churned,13-24 months,0.0,0.0,463.42
CUST-00766,Male,45-54,24,Month-to-month,Bank transfer,11.59,233.93,Premium,1,Stayed,Not churned,13-24 months,0.0,0.0,233.93
CUST-01341,Female,35-44,26,Month-to-month,Bank transfer,16.22,426.09,Mobile,0,Stayed,Not churned,25-48 months,0.0,0.0,426.09
CUST-01308,Male,25-34,51,One year,Mailed check,17.54,921.03,Standard,1,Stayed,Not churned,49+ months,0.0,0.0,921.03
CUST-00916,Female,65+,4,Month-to-month,Bank transfer,7.99,44.89,Basic,0,Churned,Competitor offer,0-6 months,7.99,95.88,44.89
CUST-00715,Female,45-54,51,Two year,Bank transfer,33.6,1696.85,Premium,1,Stayed,Not churned,49+ months,0.0,0.0,1696.85
CUST-00044,Male,25-34,19,Month-to-month,Credit card,12.33,268.02,Basic,1,Stayed,Not churned,13-24 months,0.0,0.0,268.02
CUST-01400,Male,18-24,7,Month-to-month,Bank transfer,9.31,63.88,Basic,0,Stayed,Not churned,7-12 months,0.0,0.0,63.88
CUST-01252,Female,45-54,19,Month-to-month,Electronic check,32.4,556.94,Premium,1,Stayed,Not churned,13-24 months,0.0,0.0,556.94
CUST-00241,Male,55-64,27,Month-to-month,Electronic check,7.99,185.06,Premium,1,Stayed,Not churned,25-48 months,0.0,0.0,185.06
CUST-01477,Male,55-64,16,Month-to-month,Credit card,35.35,571.41,Standard,0,Stayed,Not churned,13-24 months,0.0,0.0,571.41
CUST-00102,Male,25-34,63,One year,Electronic check,25.81,1685.55,Premium,1,Churned,Moved location,49+ months,25.81,309.72,1685.55
CUST-00713,Female,18-24,41,One year,Credit card,10.62,404.14,Premium,0,Stayed,Not churned,25-48 months,0.0,0.0,404.14
CUST-01238,Female,35-44,17,One year,Credit card,17.97,346.57,Premium,2,Churned,Moved location,13-24 months,17.97,215.64,346.57
CUST-00108,Male,55-64,3,Month-to-month,Credit card,13.81,45.69,Basic,2,Stayed,Not churned,0-6 months,0.0,0.0,45.69
CUST-00893,Male,35-44,43,One year,Electronic check,8.28,355.31,Mobile,4,Stayed,Not churned,25-48 months,0.0,0.0,355.31
CUST-01064,Female,18-24,11,Month-to-month,Credit card,39.99,407.25,Premium,2,Stayed,Not churned,7-12 months,0.0,0.0,407.25
CUST-00979,Female,25-34,4,Month-to-month,Electronic check,39.99,114.31,Premium,1,Stayed,Not churned,0-6 months,0.0,0.0,114.31
CUST-01167,Male,25-34,18,Month-to-month,Electronic check,33.16,605.32,Premium,3,Churned,Temporary need ended,13-24 months,33.16,397.92,605.32
CUST-00262,Male,55-64,11,Month-to-month,Mailed check,25.67,304.16,Premium,0,Churned,Price too high,7-12 months,25.67,308.04,304.16
CUST-00463,Male,55-64,38,One year,Credit card,7.99,293.13,Mobile,1,Stayed,Not churned,25-48 months,0.0,0.0,293.13
CUST-00819,Female,35-44,61,Two year,Credit card,7.99,456.39,Premium,0,Stayed,Not churned,49+ months,0.0,0.0,456.39
CUST-00716,Male,25-34,21,Month-to-month,Bank transfer,17.94,324.33,Standard,2,Stayed,Not churned,13-24 months,0.0,0.0,324.33
CUST-00129,Female,25-34,51,Two year,Electronic check,7.99,440.25,Basic,0,Stayed,Not churned,49+ months,0.0,0.0,440.25
CUST-00576,Male,55-64,13,Month-to-month,Bank transfer,29.64,390.2,Premium,1,Stayed,Not churned,13-24 months,0.0,0.0,390.2
CUST-01289,Female,65+,7,Month-to-month,Mailed check,18.55,113.98,Mobile,0,Stayed,Not churned,7-12 months,0.0,0.0,113.98
CUST-00863,Male,25-34,28,Month-to-month,Bank transfer,13.85,360.12,Mobile,0,Churned,Competitor offer,25-48 months,13.85,166.2,360.12
CUST-01035,Female,45-54,3,Month-to-month,Credit card,23.04,25.1,Standard,1,Stayed,Not churned,0-6 months,0.0,0.0,25.1
CUST-00591,Female,45-54,52,Two year,Credit card,11.99,619.04,Standard,0,Stayed,Not churned,49+ months,0.0,0.0,619.04
CUST-01365,Male,35-44,17,Month-to-month,Electronic check,39.99,611.4,Standard,2,Churned,Temporary need ended,13-24 months,39.99,479.88,611.4
CUST-01089,Male,25-34,47,Two year,Mailed check,7.99,393.41,Standard,2,Stayed,Not churned,25-48 months,0.0,0.0,393.41
CUST-01054,Male,65+,29,One year,Electronic check,7.99,208.25,Standard,0,Churned,Moved location,25-48 months,7.99,95.88,208.25
