customer_id,gender,age_group,tenure,contract_type,payment_method,monthly_charges,total_charges,internet_service,support_tickets,churn_status,churn_reason
CUST-01042,Male,45-54,17,Month-to-month,Electronic check,96.07,1649.04,Fiber optic,0,Stayed,Not churned
CUST-01025,Male,55-64,47,One year,Bank transfer,59.0,2825.56,DSL,0,Stayed,Not churned
CUST-01234,Female,65+,72,Two year,Bank transfer,48.51,3517.79,DSL,1,Stayed,Not churned
CUST-01327,Female,45-54,5,Month-to-month,Electronic check,84.0,427.93,Fiber optic,1,Stayed,Not churned
CUST-01101,Female,45-54,24,One year,Credit card,76.33,1844.11,Fiber optic,0,Stayed,Not churned
CUST-01303,Female,65+,32,One year,Credit card,42.16,1348.09,Fiber optic,3,Stayed,Not churned
CUST-00917,Female,35-44,37,One year,Bank transfer,68.52,2444.44,Fiber optic,2,Stayed,Not churned
CUST-00245,Female,35-44,55,One year,Credit card,52.57,2912.67,DSL,0,Stayed,Not churned
CUST-00584,Female,55-64,30,Two year,Credit card,57.65,1720.12,Fiber optic,1,Stayed,Not churned
CUST-00487,Female,45-54,7,Month-to-month,Electronic check,23.95,113.04,None,1,Churned,Price too high
CUST-00797,Male,25-34,5,Month-to-month,Bank transfer,37.74,171.98,None,2,Churned,Competitor offer
CUST-00100,Female,55-64,34,Month-to-month,Credit card,18.99,601.26,None,2,Stayed,Not churned
CUST-00683,Female,18-24,13,One year,Credit card,48.65,623.38,DSL,0,Churned,Competitor offer
CUST-00024,Female,25-34,30,Month-to-month,Bank transfer,88.21,2622.08,Fiber optic,3,Stayed,Not churned
CUST-00980,Male,45-54,34,Month-to-month,Credit card,79.25,2742.02,Fiber optic,2,Stayed,Not churned
CUST-01066,Male,25-34,1,Month-to-month,Credit card,32.9,79.64,DSL,1,Churned,Temporary need ended
CUST-01489,Female,45-54,14,One year,Electronic check,63.46,895.87,DSL,2,Churned,Moved location
CUST-01059,Female,18-24,24,Two year,Credit card,18.99,444.21,None,1,Stayed,Not churned
CUST-00060,Female,55-64,48,Two year,Mailed check,35.32,1766.59,DSL,0,Stayed,Not churned
CUST-00125,Female,25-34,23,One year,Mailed check,38.01,886.05,DSL,1,Stayed,Not churned
CUST-00071,Male,35-44,23,One year,Bank transfer,22.63,523.43,None,0,Stayed,Not churned
CUST-00629,Female,55-64,58,Two year,Bank transfer,60.84,3492.08,DSL,1,Stayed,Not churned
CUST-01165,Female,45-54,17,One year,Electronic check,32.58,537.67,DSL,1,Stayed,Not churned
CUST-00501,Male,25-34,14,Month-to-month,Bank transfer,79.93,1166.37,Fiber optic,1,Stayed,Not churned
CUST-00845,Female,65+,11,Month-to-month,Mailed check,30.97,314.68,None,0,Churned,Temporary need ended
CUST-01456,Male,45-54,9,Month-to-month,Electronic check,44.52,395.23,None,3,Stayed,Not churned
CUST-01256,Female,25-34,3,One year,Bank transfer,38.56,79.97,DSL,3,Stayed,Not churned
CUST-01223,Female,45-54,36,Two year,Electronic check,53.33,1936.19,Fiber optic,2,Stayed,Not churned
CUST-00991,Male,25-34,29,Month-to-month,Credit card,30.61,866.28,None,1,Stayed,Not churned
CUST-00820,Female,35-44,10,Month-to-month,Bank transfer,54.91,565.95,DSL,1,Churned,Competitor offer
CUST-01450,Male,55-64,1,One year,Electronic check,70.33,70.33,Fiber optic,4,Stayed,Not churned
CUST-00651,Female,35-44,11,One year,Credit card,81.16,877.68,Fiber optic,2,Churned,Product dissatisfaction
CUST-00925,Female,25-34,23,Two year,Bank transfer,42.52,1031.62,DSL,1,Stayed,Not churned
CUST-00817,Male,25-34,39,Month-to-month,Credit card,91.49,3586.33,Fiber optic,0,Stayed,Not churned
CUST-00068,Male,25-34,72,Two year,Credit card,55.56,3995.0,Fiber optic,0,Stayed,Not churned
CUST-00695,Female,25-34,3,Month-to-month,Credit card,60.66,186.35,DSL,0,Churned,Price too high
CUST-00317,Female,25-34,21,Month-to-month,Mailed check,51.29,1069.36,DSL,0,Stayed,Not churned
CUST-00353,Male,55-64,29,Two year,Electronic check,64.69,1800.35,Fiber optic,1,Churned,Product dissatisfaction
CUST-01098,Female,35-44,25,Month-to-month,Electronic check,60.65,1528.43,Fiber optic,2,Churned,Price too high
CUST-00426,Male,25-34,6,One year,Credit card,68.09,413.88,Fiber optic,0,Churned,Competitor offer
CUST-00830,Female,18-24,24,Month-to-month,Bank transfer,69.83,1727.84,Fiber optic,2,Stayed,Not churned
CUST-00549,Male,35-44,9,Month-to-month,Bank transfer,85.27,713.89,Fiber optic,1,Churned,Price too high
CUST-01422,Female,45-54,27,Two year,Mailed check,37.14,1009.17,DSL,1,Stayed,Not churned
CUST-00870,Male,45-54,11,Month-to-month,Credit card,38.19,446.63,None,0,Churned,Price too high
CUST-00381,Female,45-54,28,Month-to-month,Credit card,48.24,1341.63,DSL,4,Stayed,Not churned
CUST-00669,Female,45-54,21,Month-to-month,Credit card,70.94,1537.93,Fiber optic,0,Churned,Price too high
CUST-00340,Female,25-34,15,One year,Credit card,61.16,964.72,Fiber optic,1,Stayed,Not churned
CUST-00814,Male,45-54,44,One year,Mailed check,57.82,2515.6,DSL,0,Churned,Moved location
CUST-00169,Female,25-34,28,One year,Electronic check,74.07,2057.64,Fiber optic,1,Stayed,Not churned
CUST-00240,Female,35-44,17,One year,Electronic check,30.17,559.25,None,0,Stayed,Not churned
CUST-01079,Female,35-44,33,One year,Mailed check,65.31,2182.09,DSL,0,Stayed,Not churned
CUST-01007,Male,55-64,8,Month-to-month,Bank transfer,52.23,399.6,DSL,0,Stayed,Not churned
CUST-00260,Female,35-44,40,Two year,Mailed check,60.59,2436.49,Fiber optic,1,Stayed,Not churned
CUST-00298,Female,18-24,5,Month-to-month,Electronic check,84.65,396.59,Fiber optic,2,Stayed,Not churned
CUST-01088,Female,45-54,1,One year,Bank transfer,70.36,70.36,DSL,1,Churned,Moved location
CUST-00204,Male,35-44,63,Two year,Bank transfer,18.99,1130.92,DSL,0,Stayed,Not churned
CUST-00362,Male,45-54,38,Month-to-month,Electronic check,72.51,2767.74,Fiber optic,1,Stayed,Not churned
CUST-00975,Female,35-44,2,Month-to-month,Credit card,42.18,88.67,DSL,0,Churned,Price too high
CUST-01062,Male,45-54,12,Month-to-month,Mailed check,59.0,733.91,DSL,0,Churned,Temporary need ended
CUST-00030,Female,35-44,27,One year,Credit card,77.94,2107.65,Fiber optic,0,Stayed,Not churned
CUST-00260,Female,35-44,40,Two year,Mailed check,60.59,2436.49,Fiber optic,1,Stayed,Not churned
CUST-00507,Male,35-44,69,Two year,Electronic check,38.31,2695.17,DSL,1,Stayed,Not churned
CUST-01220,Female,18-24,12,Month-to-month,Credit card,29.13,334.81,None,2,Churned,Temporary need ended
CUST-00412,Male,55-64,26,Month-to-month,Bank transfer,55.9,1510.45,Fiber optic,3,Churned,Competitor offer
CUST-00066,Male,35-44,8,Month-to-month,Electronic check,47.81,393.21,DSL,0,Churned,Temporary need ended
CUST-01106,Female,35-44,28,One year,Bank transfer,60.39,1698.61,Fiber optic,1,Stayed,Not churned
CUST-00238,Female,25-34,55,Two year,Bank transfer,44.08,2466.77,DSL,4,Stayed,Not churned
CUST-01032,Male,55-64,9,Month-to-month,Credit card,52.08,419.64,Fiber optic,1,Stayed,Not churned
CUST-00621,Female,55-64,37,One year,Credit card,71.31,2691.61,Fiber optic,2,Stayed,Not churned
CUST-00572,Male,35-44,19,Month-to-month,Electronic check,79.76,1556.63,Fiber optic,0,Stayed,Not churned
CUST-01081,Male,25-34,47,One year,Credit card,66.35,3104.26,Fiber optic,0,Stayed,Not churned
CUST-00427,Female,35-44,6,One year,Bank transfer,50.57,256.25,None,2,Churned,Product dissatisfaction
CUST-00889,Female,45-54,13,One year,Bank transfer,70.03,928.08,Fiber optic,2,Stayed,Not churned
CUST-00271,Male,35-44,23,Month-to-month,Credit card,59.0,1370.01,Fiber optic,1,Stayed,Not churned
CUST-01474,Female,45-54,2,Month-to-month,Electronic check,44.21,92.51,DSL,0,Stayed,Not churned
CUST-00533,Male,35-44,5,Month-to-month,Bank transfer,37.18,186.39,None,2,Stayed,Not churned
CUST-00599,Female,45-54,10,Month-to-month,Bank transfer,52.97,570.97,None,1,Churned,Price too high
CUST-00894,Female,25-34,26,Month-to-month,Bank transfer,74.53,1879.35,Fiber optic,2,Churned,Temporary need ended
CUST-00810,Female,35-44,10,Month-to-month,Electronic check,89.97,949.95,Fiber optic,1,Churned,Price too high
CUST-01274,Female,35-44,21,Month-to-month,Electronic check,67.81,1472.37,Fiber optic,0,Stayed,Not churned
CUST-00414,Male,35-44,7,Month-to-month,Credit card,84.75,608.77,Fiber optic,3,Churned,Temporary need ended
CUST-00927,Female,25-34,36,One year,Mailed check,79.18,2906.62,Fiber optic,0,Stayed,Not churned
CUST-00731,Female,45-54,13,Month-to-month,Electronic check,69.13,924.61,Fiber optic,0,Churned,Price too high
CUST-01378,Male,25-34,46,Two year,Electronic check,50.13,2293.01,Fiber optic,0,Churned,Product dissatisfaction
CUST-00719,Female,55-64,24,Month-to-month,Credit card,70.85,1672.3,Fiber optic,0,Stayed,Not churned
CUST-01221,Male,55-64,24,Month-to-month,Credit card,18.99,430.39,None,2,Churned,Temporary need ended
CUST-00045,Female,65+,24,One year,Bank transfer,45.12,1040.52,DSL,1,Stayed,Not churned
CUST-00860,Female,25-34,29,Two year,Bank transfer,29.97,894.47,DSL,1,Stayed,Not churned
CUST-01194,Male,35-44,18,One year,Bank transfer,75.1,1331.37,Fiber optic,2,Stayed,Not churned
CUST-00366,Female,55-64,44,One year,Electronic check,61.69,2657.8,DSL,2,Stayed,Not churned
CUST-01049,Male,35-44,36,Two year,Credit card,59.46,2094.92,Fiber optic,0,Churned,Competitor offer
CUST-00116,Male,45-54,17,Two year,Credit card,63.89,1070.46,DSL,1,Stayed,Not churned
CUST-00304,Male,25-34,10,Month-to-month,Credit card,52.02,546.58,DSL,1,Churned,Competitor offer
CUST-00486,Male,18-24,47,One year,Credit card,54.11,2558.4,DSL,3,Churned,Product dissatisfaction
CUST-01183,Male,18-24,13,One year,Mailed check,40.64,572.8,DSL,0,Churned,Competitor offer
CUST-00232,Female,45-54,1,One year,Credit card,18.99,18.99,None,0,Churned,Moved location
CUST-00423,Female,45-54,26,One year,Bank transfer,78.34,1997.56,Fiber optic,0,Stayed,Not churned
CUST-01362,Female,25-34,24,One year,Bank transfer,53.42,1302.81,Fiber optic,2,Stayed,Not churned
CUST-00947,Female,25-34,18,One year,Bank transfer,86.59,1596.86,Fiber optic,1,Stayed,Not churned
CUST-00079,Female,45-54,31,Month-to-month,Mailed check,52.35,1637.95,DSL,1,Churned,Competitor offer
CUST-00278,Male,35-44,3,Month-to-month,Credit card,66.23,240.31,Fiber optic,1,Churned,Price too high
CUST-01402,Female,45-54,14,Month-to-month,Bank transfer,41.53,575.54,DSL,1,Stayed,Not churned
CUST-00782,Male,35-44,39,Month-to-month,Bank transfer,49.08,1887.35,DSL,1,Stayed,Not churned
CUST-00989,Female,35-44,10,Month-to-month,Bank transfer,77.04,724.38,Fiber optic,2,Churned,Competitor offer
CUST-00272,Male,45-54,7,Month-to-month,Bank transfer,25.27,225.55,None,0,Stayed,Not churned
CUST-00016,Female,18-24,9,Month-to-month,Bank transfer,65.68,561.82,DSL,1,Stayed,Not churned
CUST-01158,Male,55-64,49,Two year,Electronic check,72.85,3516.2,Fiber optic,1,Stayed,Not churned
CUST-01349,Male,35-44,35,Two year,Credit card,42.0,1518.62,DSL,1,Stayed,Not churned
CUST-00941,Female,35-44,40,One year,Bank transfer,49.61,2016.17,DSL,1,Churned,Product dissatisfaction
CUST-00416,Female,45-54,46,One year,Mailed check,40.62,1942.69,Fiber optic,1,Stayed,Not churned
CUST-00514,Male,25-34,42,Two year,Electronic check,31.28,1330.15,DSL,0,Churned,Product dissatisfaction
CUST-00757,Male,35-44,25,Month-to-month,Credit card,52.9,1339.72,DSL,1,Stayed,Not churned
CUST-00536,Male,35-44,18,Month-to-month,Bank transfer,69.31,1261.97,Fiber optic,1,Churned,Temporary need ended
CUST-00354,Female,55-64,8,Month-to-month,Bank transfer,45.13,393.04,DSL,1,Stayed,Not churned
CUST-00818,Female,35-44,55,Two year,Mailed check,27.97,1561.7,None,3,Stayed,Not churned
CUST-00185,Female,25-34,29,Month-to-month,Electronic check,61.14,1812.36,Fiber optic,0,Churned,Temporary need ended
CUST-00382,Male,55-64,8,Month-to-month,Bank transfer,52.77,376.77,DSL,1,Stayed,Not churned
CUST-00995,Female,35-44,26,Month-to-month,Bank transfer,19.1,454.57,None,0,Stayed,Not churned
CUST-01250,Male,45-54,72,Two year,Electronic check,36.17,2648.97,DSL,0,Stayed,Not churned
CUST-01104,Male,25-34,15,Month-to-month,Electronic check,57.87,902.13,DSL,0,Stayed,Not churned
CUST-01476,Male,18-24,18,Month-to-month,Mailed check,73.01,1271.0,DSL,0,Stayed,Not churned
CUST-00901,Female,35-44,29,Month-to-month,Credit card,63.66,1849.55,Fiber optic,2,Stayed,Not churned
CUST-01034,Female,18-24,23,Two year,Electronic check,32.1,757.44,DSL,3,Stayed,Not churned
CUST-00176,Female,25-34,8,Month-to-month,Electronic check,49.1,428.15,DSL,0,Churned,Temporary need ended
CUST-00498,Female,18-24,45,Two year,Credit card,61.71,2765.28,Fiber optic,0,Stayed,Not churned
CUST-00766,Male,45-54,58,Month-to-month,Bank transfer,44.47,2602.23,None,0,Churned,Competitor offer
CUST-01341,Female,35-44,9,Month-to-month,Bank transfer,20.38,247.54,None,0,Stayed,Not churned
CUST-01308,Male,25-34,52,One year,Mailed check,59.21,3069.43,Fiber optic,1,Stayed,Not churned
CUST-00916,Female,65+,19,Month-to-month,Bank transfer,47.93,894.8,Fiber optic,2,Churned,Temporary need ended
CUST-00715,Female,45-54,51,Two year,Bank transfer,55.61,2825.5,DSL,0,Stayed,Not churned
CUST-00044,Male,25-34,13,Month-to-month,Credit card,79.26,1042.19,Fiber optic,0,Churned,Competitor offer
CUST-01400,Male,18-24,6,Month-to-month,Bank transfer,74.37,470.28,Fiber optic,0,Churned,Competitor offer
CUST-01252,Female,45-54,15,Month-to-month,Electronic check,36.17,602.39,None,2,Stayed,Not churned
CUST-00241,Male,55-64,6,Month-to-month,Electronic check,18.99,118.37,None,1,Stayed,Not churned
CUST-01477,Male,55-64,6,Month-to-month,Credit card,67.8,516.71,DSL,1,Churned,Competitor offer
CUST-00102,Male,25-34,46,One year,Electronic check,28.05,1310.95,DSL,1,Churned,Moved location
CUST-00713,Female,18-24,41,One year,Credit card,32.63,1306.55,DSL,0,Stayed,Not churned
CUST-01238,Female,35-44,45,One year,Credit card,46.24,2091.0,DSL,0,Churned,Competitor offer
CUST-00108,Male,55-64,3,Month-to-month,Credit card,64.19,182.75,Fiber optic,2,Churned,Competitor offer
CUST-00893,Male,35-44,43,One year,Electronic check,27.29,1172.74,None,4,Stayed,Not churned
CUST-01064,Female,18-24,7,Month-to-month,Credit card,52.74,366.48,DSL,1,Stayed,Not churned
CUST-00979,Female,25-34,4,Month-to-month,Electronic check,69.03,230.47,DSL,1,Stayed,Not churned
CUST-01167,Male,25-34,14,Month-to-month,Electronic check,45.67,626.89,DSL,2,Stayed,Not churned
CUST-00262,Male,55-64,12,Month-to-month,Mailed check,55.55,695.54,DSL,3,Churned,Price too high
CUST-00463,Male,55-64,29,One year,Credit card,30.6,874.75,None,3,Stayed,Not churned
CUST-00819,Female,35-44,61,Two year,Credit card,26.94,1612.34,DSL,0,Stayed,Not churned
CUST-00716,Male,25-34,25,Month-to-month,Bank transfer,68.26,1724.55,Fiber optic,0,Churned,Competitor offer
CUST-00129,Female,25-34,44,Two year,Electronic check,59.0,2604.64,Fiber optic,3,Stayed,Not churned
CUST-00576,Male,55-64,11,Month-to-month,Bank transfer,46.66,439.16,DSL,1,Stayed,Not churned
CUST-01289,Female,65+,17,Month-to-month,Mailed check,23.95,410.3,None,0,Stayed,Not churned
CUST-00863,Male,25-34,4,Month-to-month,Bank transfer,43.22,204.32,None,1,Stayed,Not churned
CUST-01035,Female,45-54,36,Month-to-month,Credit card,63.82,2298.13,Fiber optic,3,Stayed,Not churned
CUST-00591,Female,45-54,16,Two year,Credit card,56.78,905.18,Fiber optic,2,Stayed,Not churned
CUST-01365,Male,35-44,44,Month-to-month,Electronic check,59.81,2644.76,DSL,0,Churned,Temporary need ended
CUST-01089,Male,25-34,46,Two year,Mailed check,71.76,3275.77,Fiber optic,0,Stayed,Not churned
CUST-01054,Male,65+,1,One year,Electronic check,26.42,26.42,DSL,3,Churned,Product dissatisfaction
CUST-00383,Male,45-54,14,Month-to-month,Electronic check,69.22,953.45,Fiber optic,1,Churned,Competitor offer
CUST-00221,Male,25-34,5,Month-to-month,Bank transfer,71.67,396.11,DSL,0,Stayed,Not churned
CUST-00033,Female,45-54,23,One year,Credit card,24.54,600.85,DSL,1,Stayed,Not churned
CUST-00679,Male,45-54,49,Two year,Bank transfer,50.86,2558.18,DSL,0,Stayed,Not churned
CUST-01006,Male,25-34,3,Month-to-month,Credit card,97.97,322.13,Fiber optic,4,Churned,Product dissatisfaction
CUST-00632,Male,18-24,8,Month-to-month,Bank transfer,79.45,592.6,Fiber optic,3,Churned,Price too high
CUST-01488,Male,35-44,4,Month-to-month,Mailed check,18.99,174.81,None,1,Stayed,Not churned
CUST-01301,Female,45-54,72,Month-to-month,Credit card,62.6,4524.66,Fiber optic,2,Stayed,Not churned
CUST-00577,Female,25-34,14,Month-to-month,Electronic check,20.32,297.31,None,0,Stayed,Not churned
CUST-01318,Male,18-24,7,Month-to-month,Bank transfer,47.01,344.94,DSL,1,Stayed,Not churned
CUST-00789,Female,35-44,24,Month-to-month,Credit card,39.08,985.37,DSL,2,Stayed,Not churned
CUST-00937,Female,35-44,16,Month-to-month,Credit card,54.36,958.08,Fiber optic,0,Churned,Competitor offer
CUST-01302,Male,55-64,50,Two year,Credit card,65.28,3299.95,Fiber optic,1,Stayed,Not churned
CUST-01091,Male,55-64,43,One year,Credit card,60.56,2550.41,Fiber optic,2,Churned,Moved location
CUST-00164,Male,35-44,9,Month-to-month,Electronic check,58.13,494.03,Fiber optic,1,Churned,Price too high
CUST-00662,Male,45-54,14,Month-to-month,Credit card,87.2,1276.1,Fiber optic,4,Stayed,Not churned
CUST-00276,Female,25-34,51,Two year,Electronic check,22.35,1127.31,DSL,0,Stayed,Not churned
CUST-00951,Male,25-34,6,Month-to-month,Credit card,52.28,274.97,DSL,1,Stayed,Not churned
CUST-00630,Female,35-44,37,One year,Electronic check,31.58,1156.87,DSL,0,Stayed,Not churned
CUST-01269,Male,35-44,45,Two year,Credit card,18.99,867.7,DSL,0,Stayed,Not churned
CUST-00844,Male,35-44,12,Month-to-month,Credit card,71.84,839.89,Fiber optic,0,Churned,Temporary need ended
CUST-00290,Male,35-44,17,Month-to-month,Bank transfer,89.57,1450.84,Fiber optic,1,Stayed,Not churned
CUST-00307,Male,45-54,8,Month-to-month,Credit card,83.56,725.64,Fiber optic,1,Churned,Competitor offer
CUST-01204,Female,18-24,43,Two year,Credit card,75.04,3200.11,Fiber optic,0,Stayed,Not churned
CUST-00568,Female,25-34,19,One year,Bank transfer,57.46,1140.44,DSL,0,Stayed,Not churned
CUST-00193,Male,35-44,52,Two year,Bank transfer,47.23,2471.92,DSL,1,Stayed,Not churned
CUST-01074,Female,35-44,37,One year,Electronic check,71.81,2667.28,Fiber optic,1,Stayed,Not churned
CUST-00562,Female,35-44,52,Two year,Mailed check,75.16,3943.15,Fiber optic,0,Stayed,Not churned
CUST-00494,Female,25-34,28,Two year,Electronic check,89.55,2483.47,Fiber optic,3,Stayed,Not churned
CUST-00064,Female,25-34,39,One year,Credit card,57.81,2218.18,DSL,1,Stayed,Not churned
CUST-00701,Male,65+,6,One year,Credit card,48.12,216.61,DSL,0,Stayed,Not churned
CUST-01080,Male,45-54,18,Month-to-month,Bank transfer,53.86,981.77,DSL,0,Churned,Temporary need ended
CUST-00918,Male,18-24,14,Month-to-month,Credit card,20.38,294.48,None,1,Stayed,Not churned
CUST-01399,Male,35-44,30,Month-to-month,Mailed check,46.09,1374.56,DSL,2,Stayed,Not churned
CUST-00333,Female,35-44,21,Month-to-month,Electronic check,55.61,1194.68,DSL,1,Stayed,Not churned
CUST-00552,Male,35-44,26,Month-to-month,Electronic check,51.22,1321.23,DSL,0,Churned,Competitor offer
CUST-00535,Male,45-54,9,Month-to-month,Credit card,89.89,798.79,Fiber optic,1,Stayed,Not churned
CUST-00495,Female,45-54,21,One year,Credit card,25.58,507.3,None,0,Stayed,Not churned
CUST-00742,Female,18-24,39,Two year,Bank transfer,77.54,3064.48,Fiber optic,0,Stayed,Not churned
CUST-00199,Male,65+,13,Month-to-month,Credit card,55.86,744.9,Fiber optic,0,Stayed,Not churned
CUST-00325,Male,45-54,13,One year,Bank transfer,79.32,1059.52,Fiber optic,1,Stayed,Not churned
CUST-00275,Male,45-54,42,Two year,Bank transfer,24.61,994.12,DSL,2,Stayed,Not churned
CUST-01139,Female,65+,34,One year,Credit card,33.8,1143.56,DSL,0,Stayed,Not churned
CUST-01086,Female,45-54,7,Month-to-month,Credit card,62.25,382.35,Fiber optic,1,Stayed,Not churned
CUST-00571,Male,45-54,25,Month-to-month,Bank transfer,45.14,1162.32,DSL,1,Stayed,Not churned
CUST-00219,Male,65+,22,One year,Bank transfer,69.17,1541.47,Fiber optic,1,Stayed,Not churned
CUST-01212,Female,35-44,25,One year,Mailed check,69.94,1768.34,Fiber optic,5,Stayed,Not churned
CUST-00031,Male,25-34,13,Month-to-month,Credit card,41.55,564.87,DSL,1,Churned,Price too high
CUST-00057,Female,45-54,47,One year,Electronic check,54.29,2522.23,Fiber optic,0,Stayed,Not churned
CUST-01228,Female,25-34,10,One year,Credit card,67.73,684.42,Fiber optic,0,Stayed,Not churned
CUST-00899,Female,45-54,38,One year,Bank transfer,73.12,2781.65,Fiber optic,0,Stayed,Not churned
CUST-00932,Male,55-64,16,Month-to-month,Credit card,60.61,951.01,Fiber optic,2,Stayed,Not churned
CUST-00452,Male,25-34,16,One year,Credit card,32.31,473.91,None,1,Stayed,Not churned
CUST-00434,Female,45-54,32,Month-to-month,Bank transfer,44.52,1363.57,DSL,1,Churned,Price too high
CUST-00345,Female,65+,7,Month-to-month,Credit card,62.85,422.31,Fiber optic,0,Churned,Competitor offer
CUST-01449,Male,35-44,22,Month-to-month,Electronic check,67.11,1500.81,DSL,2,Churned,Temporary need ended
CUST-00868,Female,35-44,22,One year,Bank transfer,71.14,1560.8,Fiber optic,1,Stayed,Not churned
CUST-00977,Male,25-34,19,Month-to-month,Credit card,52.48,1039.08,DSL,1,Stayed,Not churned
CUST-01254,Female,35-44,15,Month-to-month,Electronic check,28.91,487.19,None,1,Stayed,Not churned
CUST-00773,Female,35-44,7,Month-to-month,Credit card,37.77,280.57,DSL,1,Stayed,Not churned
CUST-01273,Male,55-64,11,Month-to-month,Credit card,63.45,707.67,DSL,2,Churned,Competitor offer
CUST-00635,Female,45-54,10,Month-to-month,Mailed check,59.49,576.53,DSL,1,Stayed,Not churned
CUST-00938,Male,35-44,15,Month-to-month,Electronic check,44.28,704.25,DSL,1,Stayed,Not churned
